City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hasaki,JP,35.7333,140.8333,63.0,61,100,19.37,overcast clouds
80,Bilma,NE,18.6853,12.9164,93.83,10,15,2.04,few clouds
81,Damietta,EG,31.4165,31.8133,76.98,62,0,9.89,clear sky
82,Axim,GH,4.8699,-2.2405,75.96,87,54,4.34,broken clouds
83,Mataura,NZ,-46.1927,168.8643,38.52,99,27,1.86,scattered clouds
84,Lashio,MM,22.9333,97.75,66.81,99,63,0.72,broken clouds
85,Thinadhoo,MV,0.5333,72.9333,82.65,70,8,6.64,clear sky
86,San Joaquin,US,37.9333,-121.3011,76.53,55,11,3.22,few clouds
87,Pimenta Bueno,BR,-11.6725,-61.1936,93.97,34,93,2.19,overcast clouds
88,Poyarkovo,RU,49.6,128.6833,51.71,67,100,4.14,overcast clouds
89,Evensk,RU,61.95,159.2333,40.21,69,100,6.78,overcast clouds
90,Laukaa,RU,58.7372,29.8453,45.28,94,67,5.3,broken clouds
91,Bandiagara,ML,14.3501,-3.6104,82.06,66,76,8.16,broken clouds
92,Codrington,AU,-38.2667,141.9667,50.83,96,2,4.9,clear sky
93,Hofn,IS,64.2539,-15.2082,50.67,87,100,4.03,overcast clouds
94,Sovkhoznyy,RU,45.2946,38.1138,53.35,66,10,3.96,clear sky
95,Banjar,ID,-8.19,114.9675,76.17,90,18,5.86,few clouds
96,Churapcha,RU,62.0025,132.4325,25.92,93,33,10.49,scattered clouds
97,Nome,US,64.5011,-165.4064,44.67,77,75,25.32,broken clouds
98,Yellowknife,CA,62.456,-114.3525,55.56,71,75,20.71,broken clouds
99,Vanimo,PG,-2.6741,141.3028,76.24,88,87,3.11,overcast clouds
100,Ushuaia,AR,-54.8,-68.3,49.66,53,40,11.5,scattered clouds
101,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,76,75,8.05,broken clouds
102,Kruisfontein,ZA,-34.0033,24.7314,60.89,69,62,2.95,broken clouds
103,Tazovskiy,RU,67.4667,78.7,41.47,92,100,22.32,light rain
104,Inhambane,MZ,-23.865,35.3833,69.78,100,40,3.44,scattered clouds
105,Coihaique,CL,-45.5752,-72.0662,53.55,43,20,10.36,few clouds
106,Luena,AO,-11.7833,19.9167,71.67,52,97,1.59,overcast clouds
107,Pevek,RU,69.7008,170.3133,34.86,75,0,9.15,clear sky
108,Varzea Grande,BR,-15.6467,-56.1325,102.07,25,40,11.5,scattered clouds
109,Cape Town,ZA,-33.9258,18.4232,62.1,59,0,8.05,clear sky
110,Itarema,BR,-2.9248,-39.9167,81.84,69,42,18.68,scattered clouds
111,Warangal,IN,18.0,79.5833,74.95,89,98,6.76,overcast clouds
112,Morgan City,US,29.6994,-91.2068,97.0,45,0,7.23,clear sky
113,Dikson,RU,73.5069,80.5464,29.61,88,100,29.93,light snow
114,Chuy,UY,-33.6971,-53.4616,55.69,65,100,9.84,light rain
115,Fort Wellington,GY,6.4,-57.6,81.64,79,100,6.02,overcast clouds
116,Nikolskoye,RU,59.7035,30.7861,50.79,97,21,4.36,few clouds
117,Ngunguru,NZ,-35.6167,174.5,52.45,90,100,6.15,overcast clouds
118,Tautira,PF,-17.7333,-149.15,77.47,75,19,16.58,light rain
119,Khatanga,RU,71.9667,102.5,21.63,81,77,15.12,broken clouds
120,Kendari,ID,-3.945,122.4989,73.94,94,58,3.13,broken clouds
121,East London,ZA,-33.0153,27.9116,62.11,77,0,15.79,clear sky
122,Champerico,GT,14.3,-91.9167,90.14,75,97,7.45,overcast clouds
123,Luderitz,NA,-26.6481,15.1594,63.09,46,0,7.07,clear sky
124,Cidreira,BR,-30.1811,-50.2056,64.92,79,48,11.52,scattered clouds
125,Cap-Aux-Meules,CA,47.3821,-61.8597,59.05,94,100,21.85,overcast clouds
126,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,53,75,8.95,broken clouds
127,Qaanaaq,GL,77.484,-69.3632,31.14,76,100,6.08,overcast clouds
128,Adrar,MR,20.5022,-10.0711,95.38,31,82,10.92,light rain
129,Turtas,RU,58.9417,69.1325,51.44,74,54,6.02,broken clouds
130,Port Lincoln,AU,-34.7333,135.8667,53.29,87,98,4.7,overcast clouds
131,Gorontalo,ID,0.5412,123.0595,74.08,95,100,3.13,overcast clouds
132,Prokudskoye,RU,55.0089,82.4574,51.67,71,0,4.47,clear sky
133,Vao,NC,-22.6667,167.4833,71.85,75,100,11.3,overcast clouds
134,Vila,PT,42.0304,-8.1588,65.7,62,0,2.28,clear sky
135,Eureka,US,40.8021,-124.1637,71.2,79,100,3.0,overcast clouds
136,Saint-Philippe,RE,-21.3585,55.7679,69.39,79,40,11.74,scattered clouds
137,Luanda,AO,-8.8368,13.2343,73.4,78,75,5.75,broken clouds
138,Paamiut,GL,61.994,-49.6678,42.33,71,97,14.5,overcast clouds
139,Harper,LR,4.375,-7.7169,76.71,87,89,10.02,overcast clouds
140,Candido Mendes,BR,-1.4467,-45.7167,86.56,55,26,7.56,scattered clouds
141,Carauari,BR,-4.8828,-66.8958,99.39,32,17,3.24,few clouds
142,Salisbury,GB,51.0693,-1.7957,60.69,71,20,5.75,few clouds
143,Murmashi,RU,68.8154,32.8115,41.41,80,0,4.47,clear sky
144,Avarua,CK,-21.2078,-159.775,75.25,73,75,14.97,broken clouds
145,Sharya,RU,58.3686,45.5144,46.74,87,92,5.59,overcast clouds
146,Rumonge,BI,-3.9736,29.4386,79.48,52,85,2.8,overcast clouds
147,Ust-Maya,RU,60.4167,134.5333,24.48,95,29,4.61,scattered clouds
148,Saint George,US,37.1041,-113.5841,87.26,35,40,5.75,scattered clouds
149,Zabaykalsk,RU,49.6333,117.3167,39.51,83,51,13.13,broken clouds
150,Cabo San Lucas,MX,22.8909,-109.9124,88.52,73,20,6.91,few clouds
151,Oistins,BB,13.0667,-59.5333,82.49,78,75,20.71,broken clouds
152,Santa Cruz De Tenerife,ES,28.4682,-16.2546,75.79,79,20,5.01,few clouds
153,Hithadhoo,MV,-0.6,73.0833,81.63,73,15,5.35,few clouds
154,Mezen,RU,65.8522,44.24,37.92,84,90,5.03,overcast clouds
155,Grand-Santi,GF,4.25,-54.3833,92.01,47,100,0.36,overcast clouds
156,Dakar,SN,14.6937,-17.4441,85.08,84,75,6.91,broken clouds
157,Shache,CN,38.4167,77.2406,68.34,47,50,13.2,scattered clouds
158,Margate,GB,51.3813,1.3862,59.7,71,29,1.01,scattered clouds
159,Mursalimkino,RU,55.0379,58.5585,58.28,52,100,3.58,overcast clouds
160,Qinzhou,CN,21.95,108.6167,75.63,91,100,3.98,overcast clouds
161,Tocopilla,CL,-22.092,-70.1979,63.34,68,18,12.46,few clouds
162,Khudaganj,IN,28.15,79.7167,78.49,86,100,8.34,light rain
163,Berdigestyakh,RU,62.0989,126.6992,27.45,91,90,7.16,overcast clouds
164,Ulcinj,ME,41.9294,19.2244,61.02,51,2,13.91,clear sky
165,Provideniya,RU,64.3833,-173.3,41.31,97,100,15.77,light rain
166,Ryotsu,JP,38.0833,138.4333,64.53,64,100,11.34,overcast clouds
167,Podor,MR,16.6527,-14.9587,84.15,70,0,4.61,clear sky
168,Bengkulu,ID,-3.8004,102.2655,74.48,90,44,3.02,scattered clouds
169,Kushima,JP,31.4583,131.2333,68.45,82,100,6.64,overcast clouds
170,Chipinge,ZW,-20.1883,32.6236,63.37,85,0,8.61,clear sky
171,Karratha,AU,-20.7377,116.8463,70.65,36,0,9.31,light rain
172,Christchurch,NZ,-43.5333,172.6333,41.47,100,73,3.44,broken clouds
173,Bollnas,SE,61.3482,16.3946,45.55,71,97,2.21,overcast clouds
174,Torbay,CA,47.6666,-52.7314,57.76,75,75,14.97,broken clouds
175,Egersund,NO,58.4513,5.9997,55.09,92,99,4.05,overcast clouds
176,Acapulco,MX,16.8634,-99.8901,87.62,62,40,3.44,scattered clouds
