City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Golden,US,2022-09-21 19:13:15,39.7555,-105.2211,72.55,72,100,9.22
68,Hazaribag,IN,2022-09-21 19:13:15,23.9833,85.35,72.54,97,21,5.7
69,Kapit,MY,2022-09-21 19:13:16,2.0167,112.9333,72.55,96,100,0.78
70,Bethel,US,2022-09-21 19:13:17,41.3712,-73.414,80.19,60,0,4.61
71,Husavik,IS,2022-09-21 19:13:17,66.0449,-17.3389,47.91,88,98,7.07
72,Thinadhoo,MV,2022-09-21 19:13:18,0.5333,72.9333,82.65,70,8,6.64
73,Terrak,NO,2022-09-21 19:13:18,65.087,12.3715,51.67,88,99,7.45
74,Nome,US,2022-09-21 19:13:19,64.5011,-165.4064,44.67,77,75,25.32
75,Winneba,GH,2022-09-21 19:13:19,5.3511,-0.6231,75.61,88,40,6.49
76,Hasaki,JP,2022-09-21 19:13:20,35.7333,140.8333,63.0,61,100,19.37
77,Codrington,AU,2022-09-21 19:13:20,-38.2667,141.9667,50.83,96,2,4.9
78,Hermanus,ZA,2022-09-21 19:13:21,-34.4187,19.2345,53.8,78,6,2.19
79,Moroni,KM,2022-09-21 19:13:21,-11.7022,43.2551,74.17,80,40,4.45
80,Safaga,EG,2022-09-21 19:13:22,26.7292,33.9365,83.75,44,0,16.96
81,Airai,TL,2022-09-21 19:13:22,-8.9266,125.4092,59.99,87,100,2.95
82,Karimnagar,IN,2022-09-21 19:13:23,18.4333,79.15,75.88,87,100,7.29
83,Vanimo,PG,2022-09-21 19:13:23,-2.6741,141.3028,76.24,88,87,3.11
84,Karratha,AU,2022-09-21 19:13:24,-20.7377,116.8463,70.65,36,0,9.31
85,Osorno,CL,2022-09-21 19:13:25,-40.5667,-73.15,54.25,62,75,5.75
86,Ostrovnoy,RU,2022-09-21 19:13:25,68.0531,39.5131,42.35,78,100,13.15
87,Whitehorse,CA,2022-09-21 19:13:15,60.7161,-135.0538,61.57,58,75,20.71
88,Rexburg,US,2022-09-21 19:13:26,43.826,-111.7897,78.78,29,40,5.75
89,Mar Del Plata,AR,2022-09-21 19:13:26,-38.0023,-57.5575,55.42,74,0,12.66
90,Carnarvon,AU,2022-09-21 19:13:27,-24.8667,113.6333,64.0,77,0,19.62
91,Kodiak,US,2022-09-21 19:13:27,57.79,-152.4072,53.11,47,0,11.5
92,San Carlos De Bariloche,AR,2022-09-21 19:13:28,-41.1456,-71.3082,40.62,77,46,13.31
93,Avarua,CK,2022-09-21 19:13:28,-21.2078,-159.775,75.25,73,75,14.97
94,Saskylakh,RU,2022-09-21 19:13:28,71.9167,114.0833,16.18,96,45,5.61
95,Cluses,FR,2022-09-21 19:13:29,46.0625,6.575,55.13,87,4,3.2
96,Tasiilaq,GL,2022-09-21 19:13:30,65.6145,-37.6368,37.56,94,62,4.23
97,Camana,PE,2022-09-21 19:13:30,-16.6228,-72.7111,61.88,79,91,13.35
98,Hearst,CA,2022-09-21 19:13:31,49.6835,-83.6665,50.25,88,44,13.98
99,East London,ZA,2022-09-21 19:13:31,-33.0153,27.9116,62.11,77,0,15.79
100,Tuktoyaktuk,CA,2022-09-21 19:13:31,69.4541,-133.0374,41.0,87,100,18.41
101,Longyearbyen,SJ,2022-09-21 19:13:32,78.2186,15.6401,35.44,69,75,23.02
102,New Milford,US,2022-09-21 19:13:32,40.9327,-74.0179,85.15,51,0,3.0
103,Mataura,NZ,2022-09-21 19:13:33,-46.1927,168.8643,38.52,99,27,1.86
104,Kavieng,PG,2022-09-21 19:13:34,-2.5744,150.7967,80.82,72,99,1.14
105,Turayf,SA,2022-09-21 19:13:34,31.6725,38.6637,74.19,35,0,10.69
106,Baherden,TM,2022-09-21 19:13:35,38.4362,57.4316,80.92,19,5,4.05
107,Takestan,IR,2022-09-21 19:13:35,36.0696,49.6959,71.73,35,90,8.48
108,Arraial Do Cabo,BR,2022-09-21 19:13:36,-22.9661,-42.0278,73.26,78,0,9.22
109,Novomikhaylovskiy,RU,2022-09-21 19:13:36,44.2581,38.8578,62.11,60,88,12.84
110,Galesong,ID,2022-09-21 19:13:37,-5.3166,119.3661,75.22,81,98,7.09
111,Vila Velha,BR,2022-09-21 19:13:37,-20.3297,-40.2925,80.55,83,0,14.97
112,Ust-Kuyga,RU,2022-09-21 19:13:38,70.0167,135.6,32.13,98,100,5.32
113,Yajalon,MX,2022-09-21 19:13:38,17.2333,-92.3333,75.02,95,64,3.06
114,Paragominas,BR,2022-09-21 19:10:15,-2.9667,-47.4833,98.78,24,30,5.93
115,Geraldton,AU,2022-09-21 19:13:39,-28.7667,114.6,50.41,93,9,5.75
116,Puerto Ayora,EC,2022-09-21 19:13:14,-0.7393,-90.3518,75.16,87,92,11.01
117,Jasper,US,2022-09-21 19:13:39,37.2001,-94.3502,98.67,36,40,10.36
118,Mantua,IT,2022-09-21 19:13:40,45.1667,10.7833,63.64,64,5,1.99
119,Cleveland,US,2022-09-21 19:10:57,41.4995,-81.6954,88.75,59,40,10.36
120,Acarau,BR,2022-09-21 19:13:41,-2.8856,-40.12,82.33,69,19,20.42
121,Bubaque,GW,2022-09-21 19:09:10,11.2833,-15.8333,79.09,85,100,11.88
122,Kargil,IN,2022-09-21 19:13:42,34.5667,76.1,52.0,53,4,6.8
123,Saint-Joseph,RE,2022-09-21 19:13:43,-21.3667,55.6167,68.38,76,19,12.37
124,Poum,NC,2022-09-21 19:13:43,-20.2333,164.0167,75.0,74,4,4.45
125,Pisco,PE,2022-09-21 19:13:44,-13.7,-76.2167,68.05,64,0,12.66
126,Kungurtug,RU,2022-09-21 19:13:44,50.5994,97.5228,34.65,84,13,1.16
127,Upernavik,GL,2022-09-21 19:13:45,72.7868,-56.1549,34.12,70,100,5.5
128,Hithadhoo,MV,2022-09-21 19:13:45,-0.6,73.0833,81.63,73,15,5.35
129,Dioknisi,GE,2022-09-21 19:13:46,41.6293,42.3917,59.34,96,84,0.74
130,Nanfeng,CN,2022-09-21 19:13:46,23.7434,111.7959,74.26,92,73,1.19
131,Zhigansk,RU,2022-09-21 19:13:47,66.7697,123.3711,29.57,94,100,18.84
132,Castro,BR,2022-09-21 19:13:47,-24.7911,-50.0119,59.07,98,100,6.35
133,Gerash,IR,2022-09-21 19:13:48,27.6652,54.1371,78.94,22,5,6.04
134,Mahebourg,MU,2022-09-21 19:13:48,-20.4081,57.7,72.25,83,75,13.8
135,Jumla,NP,2022-09-21 19:13:49,29.2747,82.1838,59.58,90,83,1.5
136,Naze,JP,2022-09-21 19:13:49,28.3667,129.4833,76.26,84,50,12.95
137,College,US,2022-09-21 19:13:50,64.8569,-147.8028,41.29,91,75,5.75
